LESSON;ORTHOGRAPHY;PHONOLOGY;GPMATCH;NB GRAPH;NB LET;NB SYLL;AUDIOFILE NAME;IS WORD;SYLLABIC STRUCTURE;PROPER NAME
1;a;a;a-a;1;1;1;phoneme_a;1;V;0
2;e;E;e-E;1;1;1;phoneme_e;0;V;0
3;i;I;i-I;1;1;1;phoneme_i;0;V;0
4;o;o;o-o;1;1;1;phoneme_o;0;V;0
5;u;V;u-V;1;1;1;phoneme_u;0;V;0
6;in;In;i-I.n-n;2;2;1;syl_in;1;VC;0
6;on;on;o-o.n-n.;2;2;1;syl_on;1;VC;0
6;an;an;a-a.n-n;2;2;1;syl_an;1;VC;0
6;nun;nVn;n-n.u-V.n-n;3;3;1;word_nun;1;CVC;0
6;Ann;an;a-a.n-n.n-n;3;3;1;word_Ann;0;VC;1
7;am;am;a-a.m-m;2;2;1;syl_am;1;VC;0
7;mom;mom;m-m.o-o.m-m;3;3;1;word_mom;1;CVC;0
7;man;man;m-m.a-a.n-n;3;3;1;word_man;1;CVC;0
8;us;Vs;u-V.s-s;2;2;1;word_us;1;VC;0
8;sum;sVm;s-s.u-V.m-m;3;3;1;word_sum;1;CVC;0
8;sun;sVn;s-s.u-V.n-n;3;3;1;word_sun;1;CVC;0
8;miss;mIs;m-m.i-I.s-s.s-s;4;4;1;word_miss;1;CVC;0
8;mess;mEs;m-m.e-E.s-s.s-s;4;4;1;word_mess;1;CVC;0
8;moss;mos;m-m.o-o.s-s.s-s;4;4;1;word_moss;1;CVC;0
8;Sam;sam;s-s.a-a.m-m;3;3;1;word_Sam;0;CVC;1
8;s;s;s-s;1;1;1;phoneme_s;0;C;0
9;less;lEs;l-l.e-E.s-s.s-s;4;4;1;word_less;1;CVC;0
9;loss;los;l-l.o-o.s-s.s-s;4;4;1;word_loss;1;CVC;0
9;mill;mIl;m-m.i-I.l-l.l-l;4;4;1;word_mill;1;CVC;0
9;ill;Il;i-I.l-l.l-l;3;3;1;word_ill;1;VC;0
9;Sal;sal;s-s.a-a.l-l;3;3;1;word_Sal;0;CVC;1
9;sell;sEL;s-s.e-E.l-l.l-l;4;4;1;word_sell;1;CVC;0
10;ram;ram;r-r.a-a.m-m;3;3;1;word_ram;1;CVC;0
10;rim;rIm;r-r.i-I.m-m;3;3;1;word_rim;1;CVC;0
10;rum;rVm;r-r.u-V.m-m;3;3;1;word_rum;1;CVC;0
10;run;rVn;r-r.u-V.n-n;3;3;1;word_run;1;CVC;0
10;ran;ran;r-r.a-a.n-n;3;3;1;word_ran;1;CVC;0
11;if;If;i-I.f-f;2;2;1;word_if;1;VC;0
11;off;of;o-o.f-f.f-f;3;3;1;word_off;1;VC;0
11;fill;fIl;f-f.i-I.l-l.l-l;4;4;1;word_fill;1;CVC;0
11;fell;fEl;f-f.e-E.l-l.l-l;4;4;1;word_fell;1;CVC;0
11;fuss;fVs;f-f.u-V.s-s.s-s;4;4;1;word_fuss;1;CVC;0
11;fun;fVn;f-f.u-V.n-n;3;3;1;word_fun;1;CVC;0
11;fan;fan;f-f.a-a.n-n.;3;3;1;word_fan;1;CVC;0
11;fin;fIn;f-f.i-I.n-n;3;3;1;word_fin;1;CVC;0
11;Finn;fIn;f-f.i-I.n-n.n-n;4;4;1;word_Finn;0;CVC;1
11;sniffs;snifs;s-s.n-n.i-I.f-f.f-f.s-s;6;6;1;word_sniffs;1;CCVCC;0
12;tan;tan;t-t.a-a.n-n;3;3;1;word_tan;1;CVC;0
12;tin;tin;t-t.i-I.n-n;3;3;1;word_tin;1;CVC;0
12;toss;tos;t-t.o-o.s-s.s-s;4;4;1;word_toss;1;CVC;0
12;tell;tel;t-t.e-E.l-l.l-l;4;4;1;word_tell;1;CVC;0
12;not;not;n-n.o-o.t-t.;3;3;1;word_not;1;CVC;0
12;mitt;mit;m-m.i-I.t-t.t-t;4;4;1;word_mitt;1;CVC;0
12;mut;mVt;m-m.u-V.t-t;3;3;1;word_mut;1;CVC;0
12;mat;mat;m-m.a-a.t-t;3;3;1;word_mat;1;CVC;0
12;sit;sIt;s-s.i-I.t-t;3;3;1;word_sit;1;CVC;0
12;sat;sat;s-s.a-a.t-t;3;3;1;word_sat;1;CVC;0
12;set;sEt;s-s.e-E.t-t;3;3;1;word_set;1;CVC;0
12;rat;rat;r-r.a-a.t-t;3;3;1;word_rat;1;CVC;0
12;rot;rot;r-r.o-o.t-t;3;3;1;word_rot;1;CVC;0
12;fat;fat;f-f.a-a.t-t;3;3;1;word_fat;1;CVC;0
12;fit;fIt;f-f.i-I.t-t;3;3;1;word_fit;1;CVC;0
12;last;last;l-l.a-a.s-s.t-t;4;4;1;word_last;1;CVCC;0
12;list;lIst;l-l.i-I.s-s.t-t;4;4;1;word_list;1;CVCC;0
12;it;It;i-I.t-t;2;2;1;word_it;1;VC;0
12;must;mVst;m-m.u-V.s-s.t-t;4;4;1;word_must;1;CVCC;0
12;fast;fast;f-f.a-a.s-s.t-t;4;4;1;word_fast;1;CVCC;0
12;lost;lost;l-l.o-o.s-s.t-t;4;4;1;word_lost;1;CVCC;0
12;left;left;l-l.e-E.f-f.t-t;4;4;1;word_left;1;CVCC;0
12;rest;rest;r-r.e-E.s-s.t-t;4;4;1;word_rest;1;CVCC;0
12;ten;ten;t-t.e-E.n-n;3;3;1;word_ten;1;CVC;0
12;stiff;stif;s-s.t-t.i-I.f-f.f-f;5;5;1;word_stiff;1;CCVC;0
12;staff;staf;s-s.t-t.a-a.f-f.f-f;5;5;1;word_staff;1;CCVC;0
12;stuff;stuf;s-s.t-t.u-V.f-f.f-f;5;5;1;word_stuff;1;CCVC;0
12;strum;strum;s-s.t-t.r-r.u-V.m-m;5;5;1;word_strum;-;CCCVC;0
12;strut;strut;s-s.t-t.r-r.u-V.t-t;5;5;1;word_strut;1;CCCVC;0
12;Tim;tim;t-t.i-I.m-m;3;3;1;word_Tim;0;CVC;1
12;nuts;nuts;n-n.u-V.t-t.s-s;4;4;1;word_nuts;1;CVCC;0
12;let;let;l-l.e-E.t-t;3;3;1;word_let;1;CVC;0
12;Tom;tom;t-t.o-o.m-m;3;3;1;word_Tom;0;CVC;1
12;Stan;stan;s-s.t-t.a-a.n-n;4;4;1;word_Stan;0;CCVC;1
12;at;at;a-a.t-t;2;2;1;word_at;1;VC;0
12;sits;sits;s-s.i-I.t-t.s-s;4;4;1;word_sits;1;CVCC;0
13;strap;strap;s-s.t-t.r-r.a-a.p-p;5;5;1;word_strap;-;CCCVC;0
13;pan;pan;p-p.a-a.n-n;3;3;1;word_pan;1;CVC;0
13;pen;pen;p-p.e-E.n-n;3;3;1;word_pen;1;CVC;0
13;pun;pun;p-p.u-V.n-n;3;3;1;word_pun;1;CVC;0
13;pass;pas;p-p.a-a.s-s.s-s;4;4;1;word_pass;1;CVC;0
13;puss;pVs;p-p.u-V.s-s.s-s;4;4;1;word_puss;1;CVC;0
13;puff;pVf;p-p.u-V.f-f.f-f;4;4;1;word_puff;1;CVC;0
13;pat;pat;p-p.a-a.t-t;3;3;1;word_pat;-;CVC;0
13;pit;pIt;p-p.i-I.t-t;3;3;1;word_pit;1;CVC;0
13;pot;pot;p-p.o-o.t-t;3;3;1;word_pot;1;CVC;0
13;nap;nap;n-n.a-a.p-p;3;3;1;word_nap;-;CVC;0
13;nip;nIp;n-n.i-I.p-p;3;3;1;word_nip;-;CVC;0
13;map;map;m-m.a-a.p-p;3;3;1;word_map;-;CVC;0
13;mop;mop;m-m.o-o.p-p;3;3;1;word_mop;-;CVC;0
13;up;Vp;u-V.p-p;2;2;1;word_up;1;VC;0
13;sap;sap;s-s.a-a.p-p;3;3;1;word_sap;1;CVC;0
13;sip;sIp;s-s.i-I.p-p;3;3;1;word_sip;1;CVC;0
13;sop;sop;s-s.o-o.p-p;3;3;1;word_sop;-;CVC;0
13;lap;lap;l-l.a-a.p-p;3;3;1;word_lap;1;CVC;0
13;lip;lIp;l-l.i-I.p-p;3;3;1;word_lip;1;CVC;0
13;rip;rIp;r-r.i-I.p-p;3;3;1;word_rip;1;CVC;0
13;tap;tap;t-t.a-a.p-p;3;3;1;word_tap;1;CVC;0
13;tip;tIp;t-t.i-I.p-p;3;3;1;word_tip;1;CVC;0
13;top;top;t-t.o-o.p-p;3;3;1;word_top;1;CVC;0
13;pest;pest;p-p.e-E.s-s.t-t;4;4;1;word_pest;1;CVCC;0
13;past;past;p-p.a-a.s-s.t-t;4;4;1;word_past;1;CVCC;0
13;pelt;pelt;p-p.e-E.l-l.t-t;4;4;1;word_pelt;-;CVCC;0
13;lamp;lamp;l-l.a-a.m-m.p-p;4;4;1;word_lamp;-;CVCC;0
13;limp;limp;l-l.i-I.m-m.p-p;4;4;1;word_limp;1;CVCC;0
13;pant;pant;p-p.a-a.n-n.t-t;4;4;1;word_pant;1;CVCC;0
13;trap;trap;t-t.r-r.a-a.p-p;4;4;1;word_trap;1;CCVC;0
13;trip;trIp;t-t.r-r.i-I.p-p;4;4;1;word_trip;-;CCVC;0
13;slip;slIp;s-s.l-l.i-I.p-p;4;4;1;word_slip;1;CCVC;0
13;slop;slop;s-s.l-l.o-o.p-p;4;4;1;word_slop;1;CCVC;0
13;sprint;sprInt;s-s.p-p.r-r.i-I.n-n.t-t;6;6;1;word_sprint;-;CCCVCC;0
13;pump;pVmp;p-p.u-V.m-m.p-p;4;4;1;word_pump;1;CVCC;0
13;lump;lVmp;l-l.u-V.m-m.p-p;4;4;1;word_lump;1;CVCC;0
13;Pam;pam;p-p.a-a.m-m;3;3;1;word_Pam;0;CVC;1
13;sips;sIps;s-s.i-I.p-p.s-s;4;4;1;word_sips;1;CVCC;0
13;pop;pop;p-p.o-o.p-p;3;3;1;word_pop;1;CVC;0
13;pants;pants;p-p.a-a.n-n.t-t.s-s;5;5;1;word_pants;1;CVCCC;0
13;plum;plum;p-p.l-l.u-V.m-m;4;4;1;word_plum;1;CCVC;0
13;pet;pet;p-p.e-E.t-t;3;3;1;word_pet;1;CVC;0
14;add;ad;a-a.d-d.d-d;3;3;1;word_add;1;VC;0
14;dad;dad;d-d.a-a.d-d;3;3;1;word_dad;1;CVC;0
14;did;did;d-d.i-I.d-d;3;3;1;word_did;1;CVC;0
14;dim;dim;d-d.i-I.m-m;3;3;1;word_dim;1;CVC;0
14;led;led;l-l.e-E.d-d;3;3;1;word_led;1;CVC;0
14;mud;mVd;m-m.u-V.d-d;3;3;1;word_mud;1;CVC;0
14;odd;od;o-o.d-d.d-d;3;3;1;word_odd;1;VC;0
14;red;rEd;r-r.e-E.d-d;3;3;1;word_red;1;CVC;0
14;rid;rId;r-r.i-I.d-d;3;3;1;word_rid;1;CVC;0
14;rod;rod;r-r.o-o.d-d;3;3;1;word_rod;1;CVC;0
14;damp;damp;d-d.a-a.m-m.p-p;4;4;1;word_damp;1;CVCC;0
14;drip;drIp;d-d.r-r.i-I.p-p;4;4;1;word_drip;1;CCVC;0
14;drum;drVm;d-d.r-r.u-V.m-m;4;4;1;word_drum;1;CCVC;0
14;dump;dVmp;d-d.u-V.m-m.p-p;4;4;1;word_dump;1;CVCC;0
14;dust;dVst;d-d.u-V.s-s.t-t;4;4;1;word_dust;1;CVCC;0
14;sled;slEd;s-s.l-l.e-E.d-d;4;4;1;word_sled;1;CCVC;0
14;sped;spEd;s-s.p-p.e-E.d-d;4;4;1;word_sped;1;CCVC;0
14;Dan;dan;d-d.a-a.n-n;3;3;1;word_Dan;0;CVC;1
14;and;and;a-a.n-n.d-d;3;3;1;word_and;1;VCC;0
14;dress;drEs;d-d.r-r.e-E.s-s.s-s;5;5;1;word_dress;1;CCVC;0
14;sad;sad;s-s.a-a.d-d;3;3;1;word_sad;1;CVC;0
14;mad;mad;m-m.a-a.d-d;3;3;1;word_mad;1;CVC;0
14;pond;pond;p-p.o-o.n-n.d-d;4;4;1;word_pond;1;CVCC;0
15;dusk;dVsk;d-d.u-V.s-s.k-k;4;4;1;word_dusk;1;CVCC;0
15;kid;kId;k-k.i-I.d-d;3;3;1;word_kid;1;CVC;0
15;kit;kIt;k-k.i-I.t-t;3;3;1;word_kit;1;CVC;0
15;kept;kEpt;k-k.e-E.p-p.t-t;4;4;1;word_kept;1;CVCC;0
15;kiss;kIs;k-k.i-I.s-s.s-s;4;4;1;word_kiss;1;CVC;0
15;silk;sIlk;s-s.i-I.l-l.k-k;4;4;1;word_silk;1;CVCC;0
15;skim;skIm;s-s.k-k.i-I.m-m;4;4;1;word_skim;1;CCVC;0
15;skin;skIn;s-s.k-k.i-I.n-n;4;4;1;word_skin;1;CCVC;0
15;skip;skIp;s-s.k-k.i-I.p-p;4;4;1;word_skip;1;CCVC;0
15;pumpkin;pVmp.kIn;p-p.u-V.m-m.p-p.k-k.i-I.n-n;7;7;2;word_pumpkin;1;CVCC.CVC;0
15;milk;mIlk;m-m.i-I.l-l.k-k;4;4;1;word_milk;1;CVCC;0
16;bat;bat;b-b.a-a.t-t;3;3;1;word_bat;1;CVC;0
16;bib;bIb;b-b.i-I.b-b;3;3;1;word_bib;1;CVC;0
16;bin;bIn;b-b.i-I.n-n;3;3;1;word_bin;1;CVC;0
16;bun;bVn;b-b.u-V.n-n;3;3;1;word_bun;1;CVC;0
16;bus;bVs;b-b.u-V.s-s;3;3;1;word_bus;1;CVC;0
16;but;bVt;b-b.u-V.t-t;3;3;1;word_but;1;CVC;0
16;rob;rob;r-r.o-o.b-b;3;3;1;word_rob;1;CVC;0
16;sob;sob;s-s.o-o.b-b;3;3;1;word_sob;1;CVC;0
16;tub;tVb;t-t.u-V.b-b;3;3;1;word_tub;1;CVC;0
16;bell;bEl;b-b.e-E.l-l.l-l;4;4;1;word_bell;1;CVC;0
16;belt;bElt;b-b.e-E.l-l.t-t;4;4;1;word_belt;1;CVCC;0
16;bent;bEnt;b-b.e-E.n-n.t-t;4;4;1;word_bent;1;CVCC;0
16;best;bEst;b-b.e-E.s-s.t-t;4;4;1;word_best;1;CVCC;0
16;Bob;bob;b-b.o-o.b-b;3;3;1;word_Bob;0;CVC;1
16;bad;bad;b-b.a-a.d-d;3;3;1;word_bad;1;CVC;0
16;rabbit;rab.It;r-r.a-a.b-b.b-b.i-I.t-t;6;6;2;word_rabbit;1;CVC.VC;0
17;ash;aS;a-a.sh-S;2;3;1;word_ash;1;VC;0
17;bash;baS;b-b.a-a.sh-S;3;4;1;word_bash;1;CVC;0
17;dish;dIS;d-d.i-I.sh-S;3;4;1;word_dish;1;CVC;0
17;fish;fIS;f-f.i-I.sh-S;3;4;1;word_fish;1;CVC;0
17;mash;maS;m-m.a-a.sh-S;3;4;1;word_mash;1;CVC;0
17;mush;mVS;m-m.u-V.sh-S;3;4;1;word_mush;1;CVC;0
17;rush;rVS;r-r.u-V.sh-S;3;4;1;word_rush;1;CVC;0
17;ship;Sip;sh-S.i-I.p-p;3;4;1;word_ship;1;CVC;0
17;shop;Sop;sh-S.o-o.p-p;3;4;1;word_shop;1;CVC;0
17;flesh;flES;f-f.l-l.e-E.sh-S;4;5;1;word_flesh;1;CCVC;0
17;fresh;frES;f-f.r-r.e-E.sh-S;4;5;1;word_fresh;1;CCVC;0
17;shell;Sel;sh-S.e-E.l-l.l-l;4;5;1;word_shell;1;CVC;0
17;smash;smaS;s-s.m-m.a-a.sh-S;4;5;1;word_smash;1;CCVC;0
17;shrimp;SrImp;sh-S.r-r.i-I.m-m.p-p;5;6;1;word_shrimp;1;CCVCC;0
18;act;akt;a-a.c-k.t-t;3;3;1;word_act;-;VCC;0
18;cab;kab;c-k.a-a.b-b;3;3;1;word_cab;1;CVC;0
18;can;kan;c-k.a-a.n-n;3;3;1;word_can;1;CVC;0
18;cap;kap;c-k.a-a.p-p;3;3;1;word_cap;-;CVC;0
18;cat;kat;c-k.a-a.t-t;3;3;1;word_cat;1;CVC;0
18;cop;kop;c-k.o-o.p-p;3;3;1;word_cop;1;CVC;0
18;cot;kot;c-k.o-o.t-t;3;3;1;word_cot;1;CVC;0
18;cub;kVb;c-k.u-V.b-b;3;3;1;word_cub;1;CVC;0
18;cup;kVp;c-k.u-V.p-p;3;3;1;word_cup;1;CVC;0
18;cut;kVt;c-k.u-V.t-t;3;3;1;word_cut;1;CVC;0
18;camp;kamp;c-k.a-a.m-m.p-p;4;4;1;word_camp;1;CVCC;0
18;cash;kaS;c-k.a-a.sh-S;3;4;1;word_cash;1;CVC;0
18;cast;kast;c-k.a-a.s-s.t-t;4;4;1;word_cast;1;CVCC;0
18;clap;klap;c-k.l-l.a-a.p-p;4;4;1;word_clap;1;CCVC;0
18;clip;klIp;c-k.l-l.i-I.p-p;4;4;1;word_clip;1;CCVC;0
18;cost;kost;c-k.o-o.s-s.t-t;4;4;1;word_cost;1;CVCC;0
18;cannot;kan.ot;c-k.a-a.n-n.n-n.o-o.t-t;6;6;2;word_cannot;1;CVC.VC;0
18;scram;skram;s-s.c-k.r-r.a-a.m-m;5;5;1;word_scram;1;CCCVC;0
18;scrap;skrap;s-s.c-k.r-r.a-a.p-p;5;5;1;word_scrap;-;CCCVC;0
18;traffic;traf.Ik;t-t.r-r.a-a.f-f.f-f.i-I.c-k;7;7;2;word_traffic;1;CCVC.VC;0
19;back;bak;b-b.a-a.ck-k;3;4;1;word_back;1;CVC;0
19;dock;dok;d-d.o-o.ck-k;3;4;1;word_dock;-;CVC;0
19;duck;dVk;d-d.u-V.ck-k;3;4;1;word_duck;1;CVC;0
19;kick;kIk;k-k.i-I.ck-k;3;4;1;word_kick;1;CVC;0
19;lick;lIk;l-l.i-I.ck-k;3;4;1;word_lick;-;CVC;0
19;lock;lok;l-l.o-o.ck-k;3;4;1;word_lock;1;CVC;0
19;neck;nEk;n-n.e-E.ck-k;3;4;1;word_neck;1;CVC;0
19;pack;pak;p-p.a-a.ck-k;3;4;1;word_pack;-;CVC;0
19;pick;pIk;p-p.i-I.ck-k;3;4;1;word_pick;1;CVC;0
19;rock;rok;r-r.o-o.ck-k;3;4;1;word_rock;1;CVC;0
19;sack;sak;s-s.a-a.ck-k;3;4;1;word_sack;-;CVC;0
19;sick;sIk;s-s.i-I.ck-k;3;4;1;word_sick;1;CVC;0
19;sock;sok;s-s.o-o.ck-k;3;4;1;word_sock;1;CVC;0
19;suck;sVk;s-s.u-V.ck-k;3;4;1;word_suck;1;CVC;0
19;tick;tIk;t-t.i-I.ck-k;3;4;1;word_tick;1;CVC;0
19;shack;Sak;sh-S.a-a.ck-k;3;5;1;word_shack;1;CVC;0
19;clock;klok;c-k.l-l.o-o.ck-k;4;5;1;word_clock;1;CCVC;0
19;Rick;rik;r-r.i-I.ck-k;3;4;1;word_Rick;0;CVC;1
19;socks;soks;s-s.o-o.ck-k.s-s;4;5;1;word_socks;1;CVCC;0
19;stuck;stVk;s-s.t-t.u-V.ck-k;4;5;1;word_stuck;1;CCVC;0
19;peck;pEk;p-p.e-E.ck-k;3;4;1;word_peck;1;CVC;0
19;trick;trIk;t-t.r-r.i-I.ck-k;4;5;1;word_trick;1;CCVC;0
19;tricks;trIks;t-t.r-r.i-I.ck-k.s-s;5;6;1;word_tricks;1;CCVCC;0
19;crack;krak;c-k.r-r.a-a.ck-k;4;5;1;word_crack;1;CCVC;0
20;win;wIn;w-w.i-I.n-n;3;3;1;word_win;1;CVC;0
20;west;wEst;w-w.e-E.s-s.t-t;4;4;1;word_west;1;CVCC;0
20;wept;wEpt;w-w.e-E.p-p.t-t;4;4;1;word_wept;1;CVCC;0
20;wish;wIS;w-w.i-I.sh-S;3;4;1;word_wish;1;CVC;0
20;well;wEl;w-w.e-E.l-l.l-l;4;4;1;word_well;-;CVC;0
20;will;wIL;w-w.i-I.l-l.l-l;4;4;1;word_will;-;CVC;0
20;wet;wEt;w-w.e-E.t-t;3;3;1;word_wet;1;CVC;0
20;went;went;w-w.e-E.n-n.t-t;4;4;1;word_went;-;CVCC;0
20;swift;swIft;s-s.w-w.i-I.f-f.t-t;5;5;1;word_swift;1;CCVCC;0
20;swim;swIm;s-s.w-w.i-I.m-m;4;4;1;word_swim;1;CCVC;0
21;fig;fIg;f-f.i-I.g-g;3;3;1;word_fig;1;CVC;0
21;bag;bag;b-b.a-a.g-g;3;3;1;word_bag;1;CVC;0
21;rag;rag;r-r.a-a.g-g;3;3;1;word_rag;1;CVC;0
21;leg;lEg;l-l.e-E.g-g;3;3;1;word_leg;1;CVC;0
21;dig;dIg;d-d.i-I.g-g;3;3;1;word_dig;1;CVC;0
21;rug;rVg;r-r.u-V.g-g;3;3;1;word_rug;1;CVC;0
21;fog;fog;f-f.o-o.g-g;3;3;1;word_fog;1;CVC;0
21;get;gEt;g-g.e-E.t-t;3;3;1;word_get;1;CVC;0
21;got;got;g-g.o-o.t-t;3;3;1;word_got;1;CVC;0
21;gut;gVt;g-g.u-V.t-t;3;3;1;word_gut;1;CVC;0
21;gum;gVm;g-g.u-V.m-m;3;3;1;word_gum;1;CVC;0
21;grab;grab;g-g.r-r.a-a.b-b;4;4;1;word_grab;1;CCVC;0
21;Gus;gVs;g-g.u-V.s-s;3;3;1;word_Gus;0;CVC;1
21;pig;pIg;p-p.i-I.g-g;3;3;1;word_pig;1;CVC;0
21;gift;gIft;g-g.i-I.f-f.t-t;4;4;1;word_gift;1;CVCC;0
21;glass;glas;g-g.l-l.a-a.s-s.s-s;5;5;1;word_glass;1;CCVC;0
21;dog;dog;d-d.o-o.g-g;3;3;1;word_dog;1;CVC;0
21;glops;glops;g-g.l-l.o-o.p-p.s-s;5;5;1;word_glops;1;CCVCC;0
21;gap;gap;g-g.a-a.p-p;3;3;1;word_gap;1;CVC;0
21;gas;gas;g-g.a-a.s-s;3;3;1;word_gas;1;CVC;0
21;gust;gVst;g-g.u-V.s-s.t-t;4;4;1;word_gust;1;CVCC;0
21;egg;Eg;e-E.g-g.g-g;3;3;1;word_egg;1;VC;0
21;bug;bVg;b-b.u-V.g-g;3;3;1;word_bug;1;CVC;0
21;sag;sag;s-s.a-a.g-g;3;3;1;word_sag;1;CVC;0
21;beg;bEg;b-b.e-E.g-g;3;3;1;word_beg;1;CVC;0
21;big;bIg;b-b.i-I.g-g;3;3;1;word_big;1;CVC;0
21;gush;gVS;g-g.u-V.sh-S;3;4;1;word_gush;1;CVC;0
22;hint;hInt;h-h.i-I.n-n.t-t;4;4;1;word_hint;1;CVCC;0
22;hug;hVg;h-h.u-V.g-g;3;3;1;word_hug;1;CVC;0
