LESSON;GROUP;SENTENCE LESSON;ORTHOGRAPHY;WORD;WORD COUNT;SECTIONS
11;1;8;Lili a lu.;a;3;1 - a to r
11;1;10;Léo a semé le lys.;lys;5;
11;1;10;Sami a le lasso.;le;4;
11;2;10;Il a salé le salami.;Il;5;
11;2;11;Maria a ramassé l'iris.;l'iris;4;
11;2;11;Lili a ri.;ri;3;
11;3;10;Léo a semé le lys.;Léo;5;
11;3;11;Maria l'a ramassé.;ramassé;3;
11;3;11;Rémi a sali le sol.;sol;5;
11;4;10;Il a salé le salami.;Maria;5;
11;4;11;Rémi a sali le sol.;a;5;
11;4;11;Maria l'a ramassé.;ramassé;3;
11;5;10;Il a salé le salami.;Il;5;
11;5;11;Maria a ramassé l'iris.;l'iris;4;
11;5;11;Lili a ri.;ri;3;
11;6;10;Il a salé le salami.;Il;5;
11;6;10;Léo a semé le lys.;lys;5;
11;6;11;Maria l'a ramassé.;l'a;3;
11;7;11;Rémi a sali le sol.;Maria;5;
11;7;11;Lili a ri.;ri;3;
11;7;10;Sami a le lasso.;lasso;4;
12;1;12;Rémi a roulé le salami.;salami;5;2 - a to ou
12;1;8;Lili a lu.;a;3;
12;1;10;Léo a semé le lys.;semé;5;
12;2;12;Le salami a roulé sur le sol !;Le;8;
12;2;10;Sami a le lasso.;lasso;4;
12;2;11;Maria l'a ramassé.;l'a;3;
12;3;12;Milou a ramassé le sou.;ramassé;5;
12;3;11;Rémi a sali le sol.;Rémi;5;
12;3;10;Il a salé le salami.;salami;5;
12;4;12;Milou a ramassé le salami.;ramassé;5;
12;4;10;Léo a semé le lys.;lys;5;
12;4;11;Rémi a sali le sol.;sol;5;
12;5;12;Milou a ramassé le salami.;ramassé;5;
12;5;8;Lili a lu.;Lili;3;
12;5;10;Sami a le lasso.;le;4;
12;6;12;Sami ou Mémé salua le lama.;ou;6;
12;6;11;Rémi a sali le sol.;sali;5;
12;6;10;Il a salé le salami.;Il;5;
12;7;12;Le salami a roulé sur le sol !;roulé;8;
12;7;12;Sami ou Mémé salua le lama.;ou;6;
12;7;10;Léo a semé le lys.;lys;5;
15;1;13;Léo a lu le mot.;mot;5;3 - silencieux to f
15;1;13;Salut le Sioux !;sioux;4;
15;1;13;Le salami a roulé sous le lit.;le;7;
15;2;13;Rio ramasse la mousse;mousse;4;
15;2;13;Léo a lu le mot.;Léo;5;
15;2;14;Je suis Marie.;suis;3;
15;3;13;Salut le Sioux !;Salut;4;
15;3;14;Jérémie joue.;joue;2;
15;3;14;Il se réjouit.;semé;3;
15;4;13;Le salami a roulé sous le lit.;sous;7;
15;4;14;"Le jour, Julie lit.";jour;4;
15;4;15;"Fifi la fourmi, alertée, a fui l'ours.";fourmi;7;
15;5;15;Jules siffla.;siffla;2;
15;5;13;Rio ramasse la mousse;la;4;
15;5;13;Léo a lu le mot.;mot;5;
15;6;15;La fourmi s'affole.;fourmi;3;
15;6;13;Salut le Sioux !;le;4;
15;6;13;Le salami a roulé sous le lit.;roule;7;
15;7;15;"Fifi la fourmi, alertée, a fui l'ours.";alertée;7;
15;7;14;Je suis Marie.;Je;3;
15;7;13;Léo a lu le mot.;mot;5;
18;1;16;Vivi a vu la louve velue.;la;6;4 - v to eu
18;1;16;"Je suis affamé, je vole l'olive, je l'avale.";suis;8;
18;1;16;La fée Lili survole la vallée.;vallée;6;
18;2;16;Milo a lu le livre.;livre;5;
18;2;16;Je me suis levée.;suis;4;
18;2;17;Marjorie savoure le fruit savoureux.;savoureux;5;
18;3;16;Il a lu le livre.;a;5;
18;3;17;La fleur a fleuri.;fleuri;4;
18;3;17;Léo le sérieux lit le livre.;sérieux;6;
18;4;17;Réa l'amoureux a ramassé l'iris.;l'amoureux;5;
18;4;17;L'affreux voleur a volé le jeu.;le;6;
18;4;17;Il va mieux.;va;3;
18;5;17;Il a eu mal.;eu;4;
18;5;16;Vivi a vu la louve velue.;velue;6;
18;5;16;Milo a lu le livre.;le;5;
18;6;17;Marjorie savoure le fruit savoureux.;fruit;5;
18;6;16;La fée Lili survole la vallée.;survole;6;
18;6;16;Je me suis levée.;levé;4;
18;7;17;La fleur a fleuri.;fleuri;4;
18;7;17;Réa l'amoureux a ramassé l'iris.;ramassé;5;
18;7;17;Il a eu mal.;eu;4;
19;1;16;Vivi a vu la louve velue.;la;6;5 - z
19;1;18;Zorro a assomé le voleur.;Zorro;5;
19;1;18;Mario a zéro fruit.;fruit;4;
19;2;18;Le zoo ouvre le jour.;ouvre;5;
19;2;17;Marjorie savoure le fruit savoureux.;le;5;
19;2;16;La fée Lili survole la vallée.;fée;6;
19;3;17;Il a eu mal.;Il;4;
19;3;16;Je me suis levée.;me;4;
19;3;18;Mario a zéro fruit.;a;4;
19;4;16;Je me suis levée.;me;4;
19;4;15;"Fifi la fourmi, alertée, a fui l'ours.";l'ours;7;
19;4;17;La fleur a fleuri.;fleuri;4;
19;5;16;La fée Lili survole la vallée.;survole;6;
19;5;18;Zorro a assomé le voleur.;le;5;
19;5;18;Mario a zéro fruit.;Mario;4;
19;6;17;Il a eu mal.;Il;4;
19;6;18;Le zoo ouvre le jour.;ouvre;5;
19;6;14;"Le jour, Julie lit.";jour;4;
19;7;17;Marjorie savoure le fruit savoureux.;savoureux;5;
19;7;18;Mario a zéro fruit.;a;4;
19;7;18;Le zoo ouvre le jour.;Le;5;
20;1;20;Le chat chasse le rat roux.;roux;6;6 - ch
20;1;20;Je marche sous l'arche.;Je;4;
20;1;20;La mouche vole.;vole;3;
20;2;20;Le chat chasse.;chasse;3;
20;2;20;Charlie a arraché le chou.;arraché;5;
20;2;20;Le chariot roule.;Le;3;
20;3;20;Je suis sous l'arche.;l'arche;4;
20;3;20;La mouche vole.;vole;3;
20;3;20;Le chat chasse le rat roux.;le;6;
20;4;20;Le chariot roule.;le;3;
20;4;20;Charlie a arraché le chou.;arraché;5;
20;4;20;Je marche sous l'arche.;sous;4;
20;5;20;Le chat chasse le rat roux.;Le;6;
20;5;20;Le chariot roule.;roule;3;
20;5;20;Je marche sous l'arche.;sous;4;
20;6;20;Le chat chasse.;Le;3;
20;6;20;Je suis sous l'arche.;sous;4;
20;6;20;Charlie a arraché le chou.;arraché;5;
20;7;20;Le chat chasse.;chasse;3;
20;7;20;Je suis sous l'arche.;sous;4;
20;7;20;Le chariot roule.;Le;3;
25;1;20;Sofiane a soufflé fort sur la flamme.;fort;7;7 - n to c/k/
25;1;20;Un chat a marché sur le chariot.;le;7;
25;1;20;Une vache rumine.;rumine;3;
25;2;20;Un vélo roule.;vélo;3;
25;2;20;Un navire va sur le fleuve.;Un;6;
25;2;20;Un journal se lit.;lit;4;
25;3;20;Un fruit se savoure.;savoure;4;
25;3;21;Marine salue la foule.;la;4;
25;3;21;La tortue a reniflé une ortie.;ortie;6;
25;4;21;"Tony a mal, il ne rit pas.";il;7;
25;4;21;La marmite fume.;fume;3;
25;4;21;Le matelot tire sur sa moustache.;Le;6;
25;5;21;Je me suis assis sur l'ortie.;me;6;
25;5;22;Le malade tousse.;tousse;3;
25;5;22;Le voleur a volé la trousse !;a;7;
25;6;22;Nous sommes solides.;Nous;3;
25;6;22;"Miam, j'avale la sardine.";j'avale;4;
25;6;23;Le rat savoure un radis cru.;un;6;
25;7;23;"Je lis, je calcule.";Je;4;
25;7;23;La marmotte cache le chocolat.;marmotte;5;
25;7;23;Le voleur a crocheté la serrure.;crocheté;6;
26;1;26;Le cheval court.;Le;3;8 - p
26;1;26;Cléo porte une cravate.;cravate;4;
26;1;26;La clé ouvre la porte.;ouvre;5;
26;2;26;Paolo va coudre une cravate.;une;5;
26;2;26;"Le samedi, papa, court sur la route.";samedi;7;
26;2;26;Tu écris une carte postale.;écris;5;
26;3;26;La canne picore.;canne;3;
26;3;26;Le voleur cache le chocolat.;le;5;
26;3;26;Cléo porte une cravate.;une;4;
26;4;26;La clé ouvre la porte.;La;5;
26;4;26;"Le samedi, papa, court sur la route.";route;7;
26;4;26;Paolo va coudre une cravate.;coudre;5;
26;5;26;La canne picore.;La;3;
26;5;26;"Le samedi, papa, court sur la route.";route;7;
26;5;26;Tu écris une carte postale.;écris;5;
26;6;26;La clé ouvre la porte.;ouvre;5;
26;6;26;Tu écris une carte postale.;carte;5;
26;6;26;Le voleur cache le chocolat.;le;5;
26;7;26;Le cheval court.;court;3;
26;7;26;Le voleur cache le chocolat.;le;5;
26;7;26;La clé ouvre la porte.;clé;5;
27;1;27;Le moustique pique.;pique;3;9 - q + qu
27;1;27;"Le pot se casse, le liquide coule.";se;7;
27;1;27;Je porte un masque pour le carnaval.;Je;7;
27;2;27;Jacques quitte l'école.;quitte;3;
27;2;27;Je lis un livre poétique.;un;5;
27;2;27;Le moustique pique.;moustique;3;
27;3;27;"Le pot se casse, le liquide coule.";se;7;
27;3;27;Jacques quitte l'école.;l'école;3;
27;3;27;Je lis un livre poétique.;lis;5;
27;4;27;"Le pot se casse, le liquide coule.";coule;7;
27;4;27;Je porte un masque pour le carnaval.;carnaval;7;
27;4;27;Je lis un livre poétique.;Je;5;
27;5;27;Je porte un masque pour le carnaval.;masque;7;
27;5;27;Le moustique pique.;Le;3;
27;5;27;Jacques quitte l'école.;quitte;3;
27;6;27;Je lis un livre poétique.;un;5;
27;6;27;Jacques quitte l'école.; l'école;3;
27;6;27;Je porte un masque pour le carnaval.;Je;7;
27;7;27;Le moustique pique.;Le;3;
27;7;27;Je lis un livre poétique.;livre;5;
27;7;27;Je porte un masque pour le carnaval.;pour;7;
29;1;26;Je te donne un bout de chocolat.;te;7;10 - b to g
29;1;26;Le baobab pousse sur l'ile.;baobab;5;
29;1;26;La balle roule sur le sol.;roule;6;
29;2;26;Barbara a cassé un bol bleu.;un;6;
29;2;26;Tu as trébuché sur la route.;trébuché;6;
29;2;26;Tu as une petite bosse.;petite;5;
29;3;26;Sabine savoure la brioche.;la;4;
29;3;27;Gustave lit un magazine de programme télé.;magazine;7;
29;3;27;"Je ne dors pas, je suis fatiguée.";dors;7;
29;4;27;Le tigre sort de la grotte.;Le;6;
29;4;27;Il s'approche du fleuve puis chasse l'alligator.;fleuve;7;
29;4;26;Je te donne un bout de chocolat.;donne;7;
29;5;26;Le baobab pousse sur l'ile.;Le;5;
29;5;26;La balle roule sur le sol.;sol;6;
29;5;27;"Je ne dors pas, je suis fatiguée.";dors;7;
29;6;26;Barbara a cassé un bol bleu.;a;6;
29;6;26;Sabine savoure la brioche.;brioche;4;
29;6;26;Je te donne un bout de chocolat.;donne;7;
29;7;27;"Je ne dors pas, je suis fatiguée.";ne;7;
29;7;26;Sabine savoure la brioche.;brioche;4;
29;7;26;La balle roule sur le sol.;roule;6;
33;1;29;Rose apporte sa valise.;sa;4;11 - k to es
33;1;29;Le curé sort de l'église.;curé;5;
33;1;29;Je la trouve curieuse.;trouve;4;
33;2;29;Le pot se brise sur le sol.;Le;7;
33;2;29;Je trouve le chocolat irrésistible.;chocolat;5;
33;2;29;Le joueur de tuba joue une musique.;joue;7;
33;3;29;Tu écoutes de la musique classique.;Tu;6;
33;3;29;Il renifle la rose.;rose;4;
33;3;29;Je m'amuse.;m'amuse;2;
33;4;30;Je suis furieuse.;Je;3;
33;4;30;Tu n'as pas réfléchi.;pas;4;
33;4;29;Le curé sort de l'église.;sort;5;
33;5;30;Charlotte a tous ses joujoux.;tous;5;
33;5;30;Léa porte ses poupées.;poupées;4;
33;5;30;Papi ouvre les portes.;ouvre;4;
33;6;30;Tu as caché tes trésors.;Tu;5;
33;6;30;Es-tu parti ?;es;3;
33;6;30;Il a des visiteurs.;visiteurs;4;
33;7;29;Rose apporte sa valise.;sa;4;
33;7;29;Il renifle la rose.;rose;4;
33;7;30;Léa porte ses poupées.;porte;4;
33;1;31;Le lac est bleu.;Le;4;
33;1;31;J'avale et je recrache.;J'avale;4;
33;1;31;Il est revenu du Brésil.;Il;5;
33;2;31;Tu es malade et fiévreux.;Tu;5;
33;2;31;Est-il tard ?;tard;3;
33;2;31;Le lac est bleu.;est;4;
33;3;31;Il est revenu du Brésil.;revenu;5;
33;3;31;J'avale et je recrache.;je;4;
33;3;31;Tu es malade et fiévreux.;fiévreux;5;
33;4;31;Le lac est bleu.;Le;4;
33;4;31;J'avale et je recrache.;et;4;
33;4;31;Tu es revenu du Brésil.;revenu;5;
33;5;31;Tu es malade et fiévreux.;Tu;5;
33;5;31;Le lac est bleu.;bleu;4;
33;5;31;Il est revenu du Brésil.;revenu;5;
33;6;31;J'avale et je recrache.;je;4;
33;6;31;Le lac est bleu.;lac;4;
33;6;31;Tu es malade et fiévreux.;es;5;
33;7;31;Tu es revenu du Brésil.;Tu;5;
33;7;31;Le lac est bleu.;bleu;4;
33;7;31;J'avale et je recrache.;recrache;4;
34;1;32;Marie et Jacques écrivent.;et;4;13 - ent
34;1;32;Ils chassent les rats.;Ils;4;
34;1;32;Les marmottes plient l'aluminium du chocolat.;plient;6;
34;2;32;Les chats courent sur le mur.;Les;6;
34;2;32;Mamie et Papi arrosent les fleurs.;fleurs;6;
34;2;32;Ses fleurs poussent.;poussent;3;
34;3;32;Les fleurs poussent.;Les;3;
34;3;32;Les chats courent sur le mur.;mur;6;
34;3;32;Ils chassent les rats.;chassent;4;
34;4;32;Papa et Papi arrivent du Brésil.;du;6;
34;4;32;Les marmottes plient l'aluminium du chocolat.;chocolat;6;
34;4;32;Les crabes creusent.;creusent;3;
34;5;32;Les marmottes plient l'aluminium du chocolat.;Les;6;
34;5;32;Emilie et Julie cousent.;et;4;
34;5;32;Mamie et Papi arrosent les fleurs.;arrosent;6;
34;6;32;Ses fleurs poussent.;Ses;3;
34;6;32;Les chats courent sur le mur.;mur;6;
34;6;32;Papa et Papi arrivent du Brésil.;arrivent;6;
34;7;32;Ils chassent les rats.;Ils;4;
34;7;32;Les crabes creusent.;crabes;3;
34;7;32;Les marmottes plient l'aluminium du chocolat.;plient;6;
36;1;33;Il a passé un an dans les Pyrénées.;Il;8;14 - an to en
36;1;33;Médor est dans sa niche.;est;5;
36;1;33;Les pandas se cachent sous les bambous.;cachent;7;
36;2;33;Le colis est posé devant la porte.;Le;7;
36;2;33;Ma cousine me tire la langue.;langue;6;
36;2;33;Les pélicans attrapent les crabes.;attrapent;5;
36;3;33;Mes cousines adorent le flan sans sucre.;Mes;7;
36;3;33;J'allume la lampe pour lire un roman.;roman;7;
36;3;33;Tu changes l'ampoule.;changes;3;
36;4;33;Je trouve mes tantes amusantes.;Je;5;
36;4;33;Tu n'es pas marrant.;marrant;4;
36;4;34;"Souvent, l'été, je campe sous une tente.";campe;7;
36;5;34;Il n'est pas devenu président.;Il;5;
36;5;34;J'enfile mes collants.;collants;3;
36;5;34;La viande est un aliment.;est;5;
36;6;34;Blanche et Yvan marchent ensemble.;ensemble;5;
36;6;34;Il poste une enveloppe.;une;4;
36;6;34;La viande est un aliment.;est;5;
36;7;34;Médor a emporté la viande.;la;5;
36;7;33;Les pandas se cachent sous les bambous.;bambous;7;
36;7;33;Tu n'es pas marrant.;n'es;4;
37;1;35;Le comique raconte une blague rigolote.;raconte;6;15 - on
37;1;35;Le gros ballon rebondit sur la vague.;ballon;7;
37;1;35;Je pilote un avion.;un;4;
37;2;35;Tu me donnes un quart de ton fruit.;donnes;8;
37;2;35;L'enfant s'est endormi dans son lit.;son;6;
37;2;35;Je suis tombée sur le sol.;sol;6;
37;3;35;L'enfant s'est endormi dans son lit.;endormi;6;
37;3;35;On avale la bonne tarte de Barbara.;bonne;7;
37;3;35;Je dis toujours bonjour.;bonjour;4;
37;4;35;Ils font des avions en carton.;avions;6;
37;4;35;La farine est répandue sur les murs.;est;7;
37;4;35;Je suis tombée sur le sol.;sol;6;
37;5;35;Le comique raconte une blague rigolote.;raconte;6;
37;5;35;"Pour l'entrée, il y a du concombre.";il;7;
37;5;35;Ton vélo roule vite sur la route.;vite;7;
37;6;35;Je remplie le bidon.;le;4;
37;6;35;Gaston joue du violon.;du;4;
37;6;35;Je pilote un avion.;avion;4;
37;7;35;Mon ombre me suit.;me;4;
37;7;35;Le comique raconte une blague rigolote.;Le;6;
37;7;35;L'enfant s'est endormi dans son lit.;s'est;6;
38;1;36;Papa colle un timbre sur l'enveloppe.;timbre;6;16 - in
38;1;36;Mon cousin a acheté des patins.;acheté;6;
38;1;36;Je suis dans le magasin. ;dans;5;
38;2;36;Le pingouin glisse sur la banquise.;glisse;6;
38;2;36;La dinde court sous les pins.;pins;6;
38;2;36;Je suis dans le magasin. ;le;5;
38;3;36;La dinde court sous les pins.;pins;6;
38;3;36;Je me suis assis sur un coussin.;assis;7;
38;3;36;Le pingouin glisse sur la banquise.;sur;6;
38;4;36;Le mouton broute un brin de romarin.;brin;7;
38;4;36;Papa colle un timbre sur l'enveloppe.;un;6;
38;4;36;La dinde court sous les pins.;court;6;
38;5;36;Mon cousin a acheté des patins.;patins;6;
38;5;36;Je suis dans le magasin. ;suis;5;
38;5;36;Je me suis assis sur un coussin.;me;7;
38;6;36;Le mouton broute un brin de romarin.;broute;7;
38;6;36;Mon cousin a acheté des patins.;cousin;6;
38;6;36;Je suis dans le magasin. ;le;5;
38;7;36;Papa colle un timbre sur l'enveloppe.;colle;6;
38;7;36;Je me suis assis sur un coussin.;coussin;7;
38;7;36;Le pingouin glisse sur la banquise.;la;6;
42;1;38;As-tu déjà pétri une pâte à pizza ?;pâte;8;17 - oi to à
42;1;37;"Parfois, le roi doit faire des choix.";des;7;
42;1;37;Grégoire est maladroit.;est;3;
42;2;37;Médor le labrador aboie contre le chat.;aboie;7;
42;2;38;Jérôme est à califourchon sur l'âne.;à;6;
42;2;37;Le cochon a le groin sale.;le;6;
42;3;38;Le châton a pris le jambon.;a;6;
42;3;38;La tortue a mâché une ortie.;mâché;6;
42;3;38;Le cheval mâche.;cheval;3;
42;4;38;Jérôme est à califourchon sur l'âne.;sur;6;
42;4;38;Le marin monte sur le mât.;mât;6;
42;4;38;La fée offre le fruit à Léo.;offre;7;
