PHONEME;a;2;e;E;i;o;O;y;u;@;1;ยง;8;5;wa;j5;si;waj;ei;ij;9;*;j;w5;p;t;k;f;s;S;b;d;g;v;z;Z;j;R;l;m;n;N;ks;gs;gz
a;1;0.19;0;0.05;0.04;0;0.18;0;0;0.11;0.6;0.18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0.04;1;0;0;0.27;0.31;0.09;0.28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
e;0;0.19;1;0.78;0;0;0.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
E;0.07;0.94;1;1;0.23;0.06;0.18;0;0.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
i;0.07;0.56;0.92;0.39;1;0;0;0.21;0.16;0;0.12;0.18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
o;0;0.91;0;0;0;1;0.18;0.14;0.11;0.11;0.12;0.18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
O;0;0;0;0;0.04;0.8;1;0.92;0.22;0;0;0.71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
y;0;0.9;0;0;0.19;0;0.09;1;0.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
u;0.04;0;0;0;0.11;0;0.97;0.49;1;0;0;0.36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
@;0;0;0;0;0;0.06;0.09;0;0.06;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0.11;0;0;0.05;0.08;0.12;0.09;0;0.06;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ยง;0;0;0;0;0;0;0.26;0.07;0;0.11;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
wa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
j5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
si;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
waj;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ei;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ij;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
*;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
j;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
w5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
p;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.91;0.9;1;0.26;0.08;0.93;0.62;0.19;0.93;0.27;0.2;0.18;0.34;0.1;0.14;0.04;0.04;0;0;0
t;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.74;1;0.33;0.32;0.24;0;0.25;0.91;0.25;0.08;0.45;0.1;0.36;0.14;0.05;0.18;0.33;0.05;0;0;0
k;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.84;0.91;1;0.5;0.03;0.12;0.35;0.17;0.91;0;0;0;0.45;0.34;0.07;0.04;0.15;0.07;0;0;0
f;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.74;0.26;0.09;1;0.21;0.04;0.25;0.34;0.06;0.77;0.09;0.15;0;0.24;0.07;0.14;0.04;0.07;0;0;0
s;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.13;0.32;0.02;0.29;1;0.08;0.13;0.23;0.06;0;0.71;0;0.09;0.1;0.1;0.07;0.22;0.1;0;0;0
S;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.06;0.06;0.09;0.07;0.03;1;0;0;0.06;0;0.27;0.15;0.09;0.12;0.02;0;0.04;0.02;0;0;0
b;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.91;0.21;0.23;0.71;0;0;1;0.91;0.57;0.95;0.54;0.29;0;0.45;0.28;0.54;0.15;0.28;0;0;0
d;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;0.69;0;0.04;0;0;0.1;1;0.06;0;0.09;0;0;0.06;0.09;0.11;0;0.09;0;0;0
g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.08;0.06;0.58;0;0;0;0.13;0.28;1;0.77;0.18;0.39;0;0.08;0.02;0.07;0;0.02;0;0;0
v;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.44;0.09;0.07;0.79;0.03;0;0.79;0.51;0.13;1;0.71;0.39;0.09;0.32;0.02;0.21;0;0.02;0;0;0
z;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;0;0;0.04;0.08;0;0.03;0.06;0;0.15;1;0.2;0.18;0;0.05;0;0.15;0.05;0;0;0
Z;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.15;0;0.05;0.07;0;0.12;0.1;0;0;0.38;0.89;1;0.27;0.18;0.17;0.11;0.04;0.17;0;0;0
j;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.17;0;0.08;0;0;1;0.02;0.04;0;0;0.04;0;0;0
R;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.29;0.26;0.21;0.18;0.03;0.08;0.13;0.28;0.76;0.9;0;0.2;0.36;1;0.16;0.14;0.15;0.16;0;0;0
l;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.42;0.13;0.26;0.79;0;0;0.54;0.9;0.57;0.15;0.18;0.2;0.27;0.06;1;0.11;0.41;1;0;0;0
m;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.06;0.06;0.05;0.04;0.05;0.04;0.76;0.17;0.06;0.46;0.27;0.29;0;0.1;0.19;1;0.92;0.19;0;0;0
n;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.42;0;0.09;0;0;0;0.28;0.4;0.25;0.08;0;0;0;0.02;0.21;0.29;1;0.21;0;0;0
N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.42;2;0.42;0;0.09;0;0;0;0.28;0.4;0.25;0.08;0;0;0;0.02;0.21;1;0;0;0
ks;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
gs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
gz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1