LESSON;ORTHOGRAPHY;NB WORDS;AUDIOFILE NAME;WORD SWAP INDEX
6;Nina ana nia.;3;;
6;Nora anaona eneo.;3;;
6;Nina ana anuani.;3;;
6;Nani ana eneo?;3;;
6;Nani ana anuani?;3;;
6;Unaona nini?;2;;
7;Nina ana anwani.;3;;
7;Nana awe anaona.;3;;
7;Winnie awe nawe.;3;;
7;Nana uwe na Nina.;4;;
7;Nana na Nora wana uwiano.;5;;
7;Wana nini?;2;;
7;Wanao wenu wanane.;3;;
7;Nora na Nina wanaona eneo.;5;;
7;Wao ni nani?;3;;
7;Wewe ni nani?;3;;
8;Amina wamo Amana.;3;;
8;Nina ana amani.;3;;
8;Nana ameamua wawe maeneo.;4;;
8;Amina ana meno.;3;;
8;Amua maoni.;2;;
8;Amina anaamini wanae.;3;;
8;Nina anaamua maeneo.;3;;
8;Imani iwe imeenea.;3;;
8;Miwa naona imeenea.;3;;
8;Wanao wanaaminiwa.;2;;
8;Maneno naona mema.;3;;
8;Maono mema.;2;;
8;Maua manne.;2;;
8;Mimi nina imani.;3;;
8;Mwana wenu.;2;;
9;Maua machache.;2;;
9;Mama ana chai.;3;;
9;chui wenu;2;;
9;chuo cha nchi;3;;
9;macho mawili;2;;
9;mimea michache;2;;
9;michuano wa uwiano;3;;
9;mwananchi wa Wachina;3;;
9;uanachama wa chuo;3;;
9;waone wanachama wenu;3;;
10;Nora ana alama.;3;;
10;Nina aliacha chuo.;3;;
10;Mama aliamini neno.;3;;
10;Musa alimwoa Nana.;3;;
10;Maua ameilewa na nani?;4;;
10;Nora aliona chui.;3;;
10;Mama amelala.;2;;
10;Mira anaelewa nini?;3;;
10;Elimu ya awali ni nini?;5;;
10;Ilani ni nini?;3;;
10;mimea ileile michache.;3;;
10;Leo ni lini?;3;;
10;Mamilioni na wananchi;3;;
10;Milenia moja;2;;
10;Milima minane;2;;
10;Milioni mia;2;;
10;Niliona mwalimu;2;;
10;Yule ni mwalimu wao.;4;;
11;Mwanaume aliye chuoni;3;;
11;Mwanamama anayo anwani;3;;
11;Chuma inayo ncha;3;;
11;Miwa iyo minene;3;;
11;Moyo mema;2;;
11;Yaleyale maoni;2;;
11;Maua yenu maalum;3;;
11;Yeye mwanaumme maalum;3;;
11;Yule mwanao mwema;3;;
11;Mwana yumo nchini;3;;
12;Mwalimu amesema maneno;3;;
12;Maua anasoma Chuoni;3;;
12;Asilia ya mimea;3;;
12;Asilimia mia ya mawe;4;;
12;Leseni yenu;2;;
12;Maliasili ya mwananchi;3;;
12;Masomo mema;2;;
12;Maswali yao;2;;
12;Muwe na mawasiliano mema;4;;
12;Anaamini misa;2;;
12;Msanii mwanaume;2;;
12;Mwanasayansi yumo chuoni;3;;
13;Amri ya masomo chuoni;4;;
13;Nora anaamini mwamimu;3;;
13;Malori manane yamo milimani;4;;
13;Maua ana michoro minne;4;;
13;Rais yumo nchini;3;;
13;Ramani ile ni maalum;4;;
13;Reli ina maili mia moja;5;;
13;Riwaya ile ni maalum;4;;
13;Wale wari wa Liwale wala wali wa Liwali.;8;;
14;Leo ni alhamisi;3;;
14;Maua aliwahi Chuoni;3;;
14;Mama amewahi misa;3;;
14;Chuoni hamana maua;3;;
14;Sara haoni maoni;3;;
14;Leo ni harusi ya Nina;5;;
14;Mama ana hasira;3;;
14;Watoto hawaelewi mwalimu;3;;
14;Maneno hayana maanani;3;;
14;Hili ni ua.;3;;
14;Haya ni maua;3;;
15;Maua alicheza mechi na Nora;5;;
15;Mwalimu alielezea nini?;3;;
15;Maua alizaliwa lini?;3;;
15;Nora amecheza mchana?;3;;
15;Maua anaweza michuano ya uwiano;5;;
15;Azimia la mwananchi ni nini?;5;;
15;Hazina maalum;2;;
15;Chui huzaa wana;3;;
15;Maua ana huzuni;3;;
15;Yale ni mawe. ;3;;
16;Nora alikuwa milimani akaona chui;5;;
16;Maua alikuwa chuoni akauliza azimio la chuo;7;;
16;Nimemwona Nora akicheza na Maua;5;;
16;Maua ana akili;3;;
16;Nimemwona Maua akisoma maneno;4;;
16;Mama alichukua mimea milimani;4;;
16;Raia alihukumiwa;2;;
16;Maua alikiri michuano;3;;
16;Nora amekaa Amerika;3;;
16;Chui ameonekana milimani;3;;
16;Raia anakaa nchini;3;;
16;Chukua chakula chako;3;;
16;Hakimu amemhukumu askari;3;;
16;Chuoni hakukuwa na umeme;4;;
16;Hakuna chakula;2;;
16;Hii ni kalamu.;3;;
16;Hizi ni kalamu.;3;;
16;Yule ni mkulima.;3;;
16;Wanakunywa maziwa.;2;;
17;Watoto wote wamekaa;3;;
17;Leo ni tarehe tatu;4;;
17;Wakati wa mechi ni mchana;5;;
17;Utawala maalum nchini;3;;
17;Matatizo ya chama chetu;4;;
17;Matokeo ya tuzo kwa watoto;5;;
17;Mchezo wa michuano chuoni;4;;
17;Maua ameona mkia;3;;
17;Mwanaume ni mkulima;3;;
17;Mlima Kilimanjaro;2;;
17;Maua yumo msituni;3;;
17;Wema yumo mtoni;3;;
17;Mama yumo nchini mwake;4;;
17;Huu ni mti.;3;;
17;Hii ni miti.;3;;
17;Hiki ni kiti.;3;;
17;Huu ni ukuta.;3;;
17;Huyu ni mzazi wetu.;4;;
17;Hawa ni watoto.;3;;
17;Huyu anaitwa chui.;3;;
18;Mmea mkubwa;2;;
18;Habari ya mchana?;3;;
18;Karibu sana chuon;3;;
18;Mto nile ni mkubwa;4;;
18;Bahari ya Pasifiki ni kubwa;5;;
18;Hiki ni kitabu cha Rosa;5;;
18;Barabara hii ina maili mia nne;6;;
18;Hii ni katiba ya nchi;5;;
18;Huo ni utaratibu chuoni;4;;
18;Hili ni bwawa kubwa;4;;
18;Maua anasoma kiswahili;3;;
18;Wema yupo kwao;3;;
18;Macho ya chui ni makubwa;5;;
18;Mwalimu wa Kiswahili;3;;
18;Mwanamke msanii;2;;
18;Mwezi wa Oktoba;3;;
18;Kile ni kitabu. ;3;;
18;Sebuleni kuna kochi.;3;;
19;Mji wa Nairobi;3;;
19;Tarehe moja;2;;
19;Juu ya milima;3;;
19;Elimu ni kwa ajili ya uchumi;6;;
19;Nchini Ujerumani;2;;
19;Umoja wa wananchi nchini;4;;
19;Kujua katiba ni muhimu;4;;
19;Hoja ya maazimio ni nini?;5;;
19;Kijiji kipo milimani;3;;
19;Maelezo ya kijamii;3;;
19;Mchezaji mechi;2;;
19;Utekelezaji wa katiba;3;;
19;Hili ni jani.;3;;
19;Haya ni majani.;3;;
19;Lile ni jiwe. ;3;;
19;Hili ni joka kubwa.;4;;
19;Watoto wanakunywa uji.;3;;
19;Jikoni kuna sahani.;3;;
20;Watoto wapo pamoja;3;;
20;Habari mpya ya leo;4;;
20;Asha ni mtoto pekee;4;;
20;Hii ni picha ya Maua na Nora;7;;
20;Wanainchi wamo pamoja;3;;
20;Asha ameamka mapema;3;;
20;Polisi wahehukumu maharamia;3;;
20;Maua ana kompyuta;3;;
20;Nora yupo Hispania;3;;
20;Juma ana mechi ya mpira leo;6;;
20;Mama yumo hospitali;3;;
20;Maua ana mpira mpya;4;;
20;Mama amebeba kikapu.;3;;
20;Hili ni pipa.;3;;
20;Kitabu kile ni kipya.;4;;
20;Watoto wanacheza mpira.;3;;
20;Ukutani kuna picha.;3;;
20;Nipe kalamu hiyo.;3;;
21;Dar es Salaam ni mji mkubwa;6;;
21;Binadamu wana uwiano;3;;
21;Idadi ya watoto chuoni;4;;
21;Dawa ya mimea ni ipi?;5;;
21;Milimani kuna baridi;3;;
21;Mtoni kuna daraja;3;;
21;Mwalimu ana madaraka;3;;
21;Barabara mpya ya kudumu;4;;
21;Watoto wana bidii kwenye masomo;5;;
21;Juma yumo Uswidi;3;;
21;Watoto wamo darasani;3;;
21;Ataandika barua.;2;;
21;Hapa ni darasani.;3;;
21;Huyu ni dobi.;3;;
22;Hili ni bara la Afrika;5;;
22;Nchi ya Ujerumani na Marekani ni tofauti;7;;
22;Hii ni familia ya Maua;5;;
22;Rais Mandela alikuwa mtu maarufu;5;;
22;Wema anasoma nchini Ufaransa;4;;
22;Juma anacheza mpira kimataifa;4;;
22;Nora anafanya utafiti wa kisayansi;5;;
22;Maua ana afya bora;4;;
22;Nora ni rafiki wa Maua;5;;
22;Maua ni mfupi;3;;
22;Nora ni mrefu;3;;
23;Maua ana chakula kidogo;4;;
23;Maua ana blogu;3;;
23;Mwezi agosti ni likizo;4;;
23;Juma anapenda magazeti;3;;
23;Leo chuoni kuna wageni;4;;
23;Maua haya ni madogo;4;;
23;Malimu anasoma kigiriki;3;;
23;Maneno haya ni magumu;4;;
23;Mama ana mizigo mikubwa;4;;
23;Nina kitabu changu.;3;;
23;Jiwe lile ni dogo.;4;;
23;Mawe yale ni madogo.;4;;
23;Jogoo anawika.;2;;
23;Huyu ni mgeni wetu.;4;;
24;Juma yumo Uingereza;3;;
24;Nora ana rafiki mwingine;4;;
24;Maua yumo shule ya msingi;5;;
24;Huyu ni mtoto wangu;4;;
24;Hii ni rangi ya kijani;5;;
24;Rais ni kiongozi wa nchi;5;;
24;Hili ni bunge la taifa;5;;
24;Huu ni muungano wa nchi;5;;
24;Ulimwengu ni mkubwa sana;4;;
24;Sasa kuna ongezeko la joto nchini;6;;
24;Huu ni udongo.;3;;
24;Ile ni kengele.;3;;
24;Zile ni kengele.;3;;
24;Mama hufua nguo.;3;;
24;Mtungi una maji.;3;;
24;Hizi ni funguo.;3;;
24;Mkono wangu unauma.;3;;
24;Kiatu changu si kichafu.;4;;
25;Mwalimu amesoma magazeti mbalimbali;4;;
25;Wananchi watachagua Rais kesho;4;;
25;Maua an wimbo wa kidini;5;;
25;Mbinu mbalimbali za kiuchumi;4;;
25;Mbeya kuna baridi;3;;
25;Leo ni kumbukumbu ya Mwalimu Nyerere;6;;
25;Watoto wana budi kupambana kwenye mechi;6;;
25;Watoto wanatambua umuhimu wa masomo;5;;
25;Hii ni nyumba.;3;;
25;Hiki ni kikombe.;3;;
25;Mjomba na Shangazi watasafiri.;4;;
25;Hili ni jembe.;3;;
25;Haya ni majembe.;3;;
25;Hili ni embe.;3;;
25;Haya ni maembe. ;3;;
25;Maembe haya ni yangu.;4;;
25;Jikoni kuna embe.;3;;
25;Mezani kuna Kikombe.;3;;
25;Hawa ni mbuzi.;3;;
25;Hivi ni vikombe.;3;;
25;Mjomba wako anaitwa nani?;4;;
26;"Kwa sasa, binadamu wana maisha bora";6;;
26;Wanainchi waishio vijijini wana maisha duni;6;;
26;Shule ya Maua na Nora ni Msasani;7;;
26;Tanzania imo mashariki barani Afrika;5;;
26;Mheshimiwa Magufuli ni Rais wa Tanzania;6;;
26;Arusha kuna watalii wengi;4;;
26;Rushwa ni adui wa maendeleo;5;X;
26;Wananchi wanaboresha uchumi;3;;
26;Nchi nyingi duniani zinashirikiana;4;;
26;Milimani kuna mashamba makubwa;4;;
26;Miti hiyo huangusha majani.;4;;
26;Hili ni dirisha.;3;;
26;Dirishani kuna ua.;3;;
26;"Wakila na wakishiba, wanalala sebuleni.";5;;
27;Ana yumo ndani;3;;
27;Shule ya Ana ipo upande wa kushoto;7;;
27;Maua amekwenda shule;3;;
27;Juma na Maua ni ndugu;5;;
27;Rosa amefunga ndoa na Ikeno;5;;
27;Uganda ni nchi jirani na Tanzania;6;;
27;juma ni mshindi kwenye michuano ya mpira;7;;
27;Maua ameshiriki kwenye mashindano ya mpira;6;;
27;Mechi ya Maua imeshindwa;4;;
27;Hawa ni waandishi wa habari;5;;
27;Nora anakula matunda;3;;
27;Juma anaangalia mafundisho ya mwalimu;5;;
27;Bandari ya Dar es salaam in kina kirefu;8;;
27;Hizi ni ndizi.;3;;
27;Haya ni matunda.;3;;
27;Ndege anakula mtama.;3;;
27;Anapenda maua.;2;;
27;Twiga ana shingo ndefu.;4;;
27;Mimi hupenda kusoma.;3;;
27;Watoto hupenda kucheza.;3;;
28;Maua alivyokuwa mtoto alikuwa mnene;5;;
28;Juma amevaa suruali;3;;
28;Dereva yumo barabarani;3;;
28;Huyu mwanaume ni gavana wa benki;6;;
28;Hivi ni viti vya darasani;5;;
28;Ifuatayo ni taarifa ya habari;5;;
28;Inavyoonekana mlima ni mrefu;4;;
28;Kivu ni ziwa lipo Rwanda;5;;
28;Mlima Kilimanjaro ni kivutio nchini Tanzania;6;;
28;Madawa ya kulevya sio mazuri kwa binadamu;7;X;
28;Baba anavua samaki mtoni;4;;
28;Hivi ni viti.;3;;
28;Vile ni vitabu. ;3;;
28;Vitabu vile ni vipya.;4;;
28;Wavuvi wale wana bidii ya kuvua samaki.;7;;
28;Mayai yamevunjika.;2;;
28;Nyanya zimeiva.;2;;
28;Chakula kimeiva.;2;;
29;Mlima upo kwenye msitu;4;;
29;Kenya ipo kaskazini mwa Tanzania;5;;
29;Hii ni nyumba ya Rosa na Ikeno;7;;
29;Maua yupo nyumbani;3;;
29;Hawa ni wafanyakazi wa chuo;5;;
29;Nyerere alikuwa rais wa Tanzania;5;;
29;Tanganyika ni ziwa lipo Tanzania;5;;
29;Chui ni mnyama hatari;4;;
29;Kenyatta alikuwa rais wa Kenya;5;;
29;Panya ni wanyama wadogo;4;;
29;Mwinyi alikuwa rais wa Tanzania;5;;
30;Mwalimu alianza masomo darasani;4;;
30;Maua alijifunza mengi;3;;
30;Rosa ameanza kufanya kazi;4;;
30;Chanzo cha malaria ni mbu;5;;
30;Mwaka mpya huanza tarehe moja januari;6;;
30;Tanzania ilianzishwa baada ya muungano wa Tanganyika na Zanzibar;9;;
30;Rosa anaongea kiholanzi;3;;
30;Juma anajifunza kichina;3;;
30;Ikeno ni mkurugenzi kwenye kampuni;5;;
30;Nani amekula chenza langu?;4;;
30;Unasoma hadithi nzuri.;3;;
31;Mwalimu amempa adhabu Juma;4;;
31;Ardhi ya milimani ni bora;5;;
31;Baadhi ya wananchi ni wapinzani;5;;
31;Dhahabu ni adimu na ghali;5;;
31;Huyu mgonjwa yu dhaifu;4;;
31;Maua ameoata dharura nyumbani;4;;
31;Leo kuna dhoruba kali;4;;
31;Fedha ya kitanzania imeshuka thamani;5;;
31;Rais yumo hadharani na wananchi;5;;
32;Kilimanjaro ni mlima mrefu;4;;
32;Daraja la mtoni limevunjika;4;;
32;Suruali ya Juma ni ya manjano;6;;
32;Juma yupo nje ya nyumba;5;;
32;Nora na Maua wapo njiani;5;;
32;ugonjwa wa malaria ni mbaya;5;;
32;Juma anacheza mechi uwanjani;4;;
32;Mwezi huu kuna wagonjwa wa malaria;6;;
32;Watoto hawa ni wajanja;4;;
33;Maua ameanguka ghafla;3;;
33;Dhahabu ni madini ghali;4;;
33;hili ni ghorofa refu sana;5;;
33;Mwanamke huyu anajishughulisha na biashara;5;;
33;Mgonjwa anashughulikiwa na dakitari;4;;
33;Lugha ya kiswahili ni nzuri;5;;
33;Ziwa Tanganyiko lipo magharibi mwa Tanzania;6;;
33;Leo Maua ana shughuli nyingi;5;;
34;Madawa ya kulevya yana athari sana;6;;
34;Watoto wengi wanapenda hadithi;4;;
34;Wazazi na walimu wanathamini watoto;5;;
34;Hakimu amethibitisha kosa la mwizi;5;;
34;Tamthiliya za watoto ni nzuri;5;;
34;Thamani ya hela imeshuka;4;;
34;Theluji ya mlima Kilimanjaro imepungua;5;;
35;Chumvi ni kiungo muhimu;4;;
35;Baba ana mvi;3;;
35;Baba anakunywa mvinyo;3;;
35;Yai ni la mviringo;4;;
35;Leo mvua kubwa imenyesha;4;;
35;jikoni kuna mvuke;3;;
35;Mvulana huyu ni Juma;4;;
35;Maua hapendi ugomvi;3;;
36;Shekh yumo msikitini;3;;
36;Alhamisi ni siku ya michuano uwanjani;6;;
36;Khanga ni vazi maarufu Tanzania;5;;
37;Ng'ambo ya mto kuna mlima;5;;
37;Baba ana ng'ombe nane;4;;
37;Maua amening'iniza soksi kwenye kamba;5;;
37;Nora anamung'unya pipi;3;;